SURVEY_OPS,image_key,ranSel_key,CONCEPT,Count,INDEX_RECORDED_TIMESTAMP,SVY_OPS,Transect Priority,NEW priority,MapLoc,Target RANSMPL (1/10),KF_USBL_LON,KF_USBL_LAT,Z,CONCEPT - OLD (note this was extract with some QC already done) - filling on Photos,SubstConc (17-7-19),IMAGE_NO,KEY_1,QUAD-Size,RANSEL_NO,RAN_SEL_STAT,"Selection round (1 orig sel, 2 replacement)",SelNo-NS replaced,COMMENTS,Dens
IN2018_V06_082,082_0319,082_016,Black & Octocorals,1,5/12/2018 11:52,IN2018_V06_082,1,1,Hill K1,41,147.39503,-44.29866236,1483.3,Coral reef substrate,Coral reef substrate,319,082_0319,8.909556373,16,QT,1,16,NA,0.11223903392434376
IN2018_V06_082,082_0319,082_016,Sponges,15,5/12/2018 11:52,IN2018_V06_082,1,1,Hill K1,41,147.39503,-44.29866236,1483.3,Coral reef substrate,Coral reef substrate,319,082_0319,8.909556373,16,QT,1,16,NA,1.6835855088651563
IN2018_V06_082,082_0319,082_016,Unstalked crinoids,3,5/12/2018 11:52,IN2018_V06_082,1,1,Hill K1,41,147.39503,-44.29866236,1483.3,Coral reef substrate,Coral reef substrate,319,082_0319,8.909556373,16,QT,1,16,NA,0.33671710177303127
IN2018_V06_082,082_0319,082_016,Stalked crinoids,1,5/12/2018 11:52,IN2018_V06_082,1,1,Hill K1,41,147.39503,-44.29866236,1483.3,Coral reef substrate,Coral reef substrate,319,082_0319,8.909556373,16,QT,1,16,NA,0.11223903392434376
IN2018_V06_082,082_0319,082_016,Hydrocorals,1,5/12/2018 11:52,IN2018_V06_082,1,1,Hill K1,41,147.39503,-44.29866236,1483.3,Coral reef substrate,Coral reef substrate,319,082_0319,8.909556373,16,QT,1,16,NA,0.11223903392434376
IN2018_V06_082,082_0319,082_016,Solenosmilia matrix,60,5/12/2018 11:52,IN2018_V06_082,1,1,Hill K1,41,147.39503,-44.29866236,1483.3,Coral reef substrate,Coral reef substrate,319,082_0319,8.909556373,16,QT,1,16,NA,6.734342035460625
IN2018_V06_045,045_0131,045_051,Black & Octocorals,2,29/11/2018 0:51,IN2018_V06_045,1,1,Hill K1,44,147.388677,-44.29067989,1378.1,Rock,Rock,131,045_0131,7.460174494,51,QT-2,2,19,NA,0.268090243949192
IN2018_V06_045,045_0131,045_051,Solenosmilia matrix,5,29/11/2018 0:51,IN2018_V06_045,1,1,Hill K1,44,147.388677,-44.29067989,1378.1,Rock,Rock,131,045_0131,7.460174494,51,QT-2,2,19,NA,0.67022560987298
IN2018_V06_045,045_0131,045_051,S.variabilis,1,29/11/2018 0:51,IN2018_V06_045,1,1,Hill K1,44,147.388677,-44.29067989,1378.1,Rock,Rock,131,045_0131,7.460174494,51,QT-2,2,19,NA,0.134045121974596
IN2018_V06_045,045_0131,045_051,Regular urchins,2,29/11/2018 0:51,IN2018_V06_045,1,1,Hill K1,44,147.388677,-44.29067989,1378.1,Rock,Rock,131,045_0131,7.460174494,51,QT-2,2,19,NA,0.268090243949192
IN2018_V06_089,089_0407,089_075,Hydrocorals,1,6/12/2018 10:38,IN2018_V06_089,1b,1b,Main Matt,69,146.2014897,-44.20661484,980.0611111,Rock,Rock,407,089_0407,4.036201541,75,QT,1,75,NA,0.2477576973899679
IN2018_V06_089,089_0407,089_075,Sponges,1,6/12/2018 10:38,IN2018_V06_089,1b,1b,Main Matt,69,146.2014897,-44.20661484,980.0611111,Rock,Rock,407,089_0407,4.036201541,75,QT,1,75,NA,0.2477576973899679
IN2018_V06_114,114_0015,114_009,Hydrocorals,1,9/12/2018 0:09,IN2018_V06_114,1a,1a,z16,35,147.0677111,-44.29131389,(null),Coral reef substrate,Coral reef substrate,15,114_0015,3.501067601,9,QT,1,9,NA,0.2856271611877397
IN2018_V06_114,114_0015,114_009,S.variabilis,11,9/12/2018 0:09,IN2018_V06_114,1a,1a,z16,35,147.0677111,-44.29131389,(null),Coral reef substrate,Coral reef substrate,15,114_0015,3.501067601,9,QT,1,9,NA,3.141898773065136
IN2018_V06_114,114_0015,114_009,Solenosmilia matrix,100,9/12/2018 0:09,IN2018_V06_114,1a,1a,z16,35,147.0677111,-44.29131389,(null),Coral reef substrate,Coral reef substrate,15,114_0015,3.501067601,9,QT,1,9,NA,28.562716118773967
IN2018_V06_114,114_0015,114_009,Sponges,3,9/12/2018 0:09,IN2018_V06_114,1a,1a,z16,35,147.0677111,-44.29131389,(null),Coral reef substrate,Coral reef substrate,15,114_0015,3.501067601,9,QT,1,9,NA,0.856881483563219
IN2018_V06_114,114_0015,114_009,Black & Octocorals,2,9/12/2018 0:09,IN2018_V06_114,1a,1a,z16,35,147.0677111,-44.29131389,(null),Coral reef substrate,Coral reef substrate,15,114_0015,3.501067601,9,QT,1,9,NA,0.5712543223754794
IN2018_V06_182,182_0244,182_043,Hydrocorals,1,17/12/2018 1:03,IN2018_V06_182,1b,1b,St Helens,66,148.7516372,-41.23276132,749.3,Rock,Rock,244,182_0244,6.819148823,NA,QT-2,2,43,MG-Q,0.14664586826835999
IN2018_V06_042,042_0312,042_072,No-VMEfauna,0,28/11/2018 16:28,IN2018_V06_042,fished,1c,Sisters,81,147.256635,-44.27068051,1128.622222,Pebble - gravel,Pebble - gravel,312,042_0312,7.749147145,72,QT,1,72,NA,0
IN2018_V06_067,067_0631,067_007,Regular urchins,4,2/12/2018 0:03,IN2018_V06_067,4 - fished?,1c,Sisters,63,147.2215648,-44.27737261,1413.785714,Pebble - gravel,Pebble - gravel,631,067_0631,10.61596499,7,QT,1,7,NA,0.37679099391980947
IN2018_V06_062,062_0210,062_006,D.horridus,4,1/12/2018 11:01,IN2018_V06_062,1a,1a,z16,39,147.0677734,-44.28508074,1302.871429,Coral reef substrate,Coral reef substrate,210,062_0210,8.818304411,6,QT,1,6,NA,0.4536019413222318
IN2018_V06_062,062_0210,062_006,Solenosmilia matrix,100,1/12/2018 11:01,IN2018_V06_062,1a,1a,z16,39,147.0677734,-44.28508074,1302.871429,Coral reef substrate,Coral reef substrate,210,062_0210,8.818304411,6,QT,1,6,NA,11.340048533055796
IN2018_V06_062,062_0210,062_006,Black & Octocorals,7,1/12/2018 11:01,IN2018_V06_062,1a,1a,z16,39,147.0677734,-44.28508074,1302.871429,Coral reef substrate,Coral reef substrate,210,062_0210,8.818304411,6,QT,1,6,NA,0.7938033973139057
IN2018_V06_062,062_0210,062_006,S.variabilis,10,1/12/2018 11:01,IN2018_V06_062,1a,1a,z16,39,147.0677734,-44.28508074,1302.871429,Coral reef substrate,Coral reef substrate,210,062_0210,8.818304411,6,QT,1,6,NA,1.1340048533055795
IN2018_V06_062,062_0210,062_006,Hydrocorals,1,1/12/2018 11:01,IN2018_V06_062,1a,1a,z16,39,147.0677734,-44.28508074,1302.871429,Coral reef substrate,Coral reef substrate,210,062_0210,8.818304411,6,QT,1,6,NA,0.11340048533055795
IN2018_V06_062,062_0210,062_006,Sponges,32,1/12/2018 11:01,IN2018_V06_062,1a,1a,z16,39,147.0677734,-44.28508074,1302.871429,Coral reef substrate,Coral reef substrate,210,062_0210,8.818304411,6,QT,1,6,NA,3.6288155305778544
IN2018_V06_060,060_0270,060_017,Solenosmilia matrix,95,1/12/2018 5:39,IN2018_V06_060,1,1,Little Sister (z56),38,147.208774,-44.25050861,1274.775,Coral reef substrate,Coral reef substrate,270,060_0270,5.126293713,17,QT,1,17,NA,18.531907323040272
IN2018_V06_060,060_0270,060_017,Sponges,17,1/12/2018 5:39,IN2018_V06_060,1,1,Little Sister (z56),38,147.208774,-44.25050861,1274.775,Coral reef substrate,Coral reef substrate,270,060_0270,5.126293713,17,QT,1,17,NA,3.3162360472808907
IN2018_V06_060,060_0270,060_017,Hydrocorals,1,1/12/2018 5:39,IN2018_V06_060,1,1,Little Sister (z56),38,147.208774,-44.25050861,1274.775,Coral reef substrate,Coral reef substrate,270,060_0270,5.126293713,17,QT,1,17,NA,0.1950727086635818
IN2018_V06_060,060_0270,060_017,S.variabilis,6,1/12/2018 5:39,IN2018_V06_060,1,1,Little Sister (z56),38,147.208774,-44.25050861,1274.775,Coral reef substrate,Coral reef substrate,270,060_0270,5.126293713,17,QT,1,17,NA,1.1704362519814908
IN2018_V06_060,060_0270,060_017,Black & Octocorals,31,1/12/2018 5:39,IN2018_V06_060,1,1,Little Sister (z56),38,147.208774,-44.25050861,1274.775,Coral reef substrate,Coral reef substrate,270,060_0270,5.126293713,17,QT,1,17,NA,6.047253968571036
IN2018_V06_046,046_0283,046_020,Hydrocorals,1,29/11/2018 5:42,IN2018_V06_046,4 - fished?,1c,Sisters,67,147.2398489,-44.25964585,1173.133333,Coral rubble,Coral rubble,283,046_0283,3.042561558,20,QT,1,20,NA,0.3286704248828217
IN2018_V06_046,046_0283,046_020,Sponges,1,29/11/2018 5:42,IN2018_V06_046,4 - fished?,1c,Sisters,67,147.2398489,-44.25964585,1173.133333,Coral rubble,Coral rubble,283,046_0283,3.042561558,20,QT,1,20,NA,0.3286704248828217
IN2018_V06_075,075_0523,075_001,No-VMEfauna,0,4/12/2018 0:53,IN2018_V06_075,1b,1b,Main Matt,66,146.17258760000001,-44.21566283,1053.8,Rock,Rock,523,075_0523,3.370220386,1,QT,1,1,NA,0
IN2018_V06_185,185_0629,185_010,No-VMEfauna,0,17/12/2018 8:59,IN2018_V06_185,1b,1b,St Helens,71,148.7481292,-41.24412653,977.6357143,Pebble - gravel,Pebble - gravel,629,185_0629,1.532275098,10,QT,1,10,MG-Q,0
IN2018_V06_052,052_0173,052_065,Hydrocorals,1,30/11/2018 6:40,IN2018_V06_052,1,1,Hill K1,48,147.3859295,-44.29623707,1455.566667,Rock,Rock,173,052_0173,8.53958013,65,QT-2,2,33,NA,0.11710177605652376
IN2018_V06_052,052_0173,052_065,Sponges,1,30/11/2018 6:40,IN2018_V06_052,1,1,Hill K1,48,147.3859295,-44.29623707,1455.566667,Rock,Rock,173,052_0173,8.53958013,65,QT-2,2,33,NA,0.11710177605652376
IN2018_V06_052,052_0173,052_065,Regular urchins,13,30/11/2018 6:40,IN2018_V06_052,1,1,Hill K1,48,147.3859295,-44.29623707,1455.566667,Rock,Rock,173,052_0173,8.53958013,65,QT-2,2,33,NA,1.522323088734809
IN2018_V06_185,185_0601,185_062,No-VMEfauna,0,17/12/2018 8:57,IN2018_V06_185,1b,1b,St Helens,71,148.7484068,-41.243511410000004,977.68,Pebble - gravel,Pebble - gravel,601,185_0601,1.696422891,62,QT,1,62,MG-Q,0
IN2018_V06_114,114_0058,114_013,S.variabilis,20,9/12/2018 0:13,IN2018_V06_114,1a,1a,z16,35,147.0684972,-44.29235278,(null),Coral reef substrate,Coral reef substrate,58,114_0058,12.89067775,13,QT,1,13,NA,1.5515088025530699
IN2018_V06_114,114_0058,114_013,Sponges,4,9/12/2018 0:13,IN2018_V06_114,1a,1a,z16,35,147.0684972,-44.29235278,(null),Coral reef substrate,Coral reef substrate,58,114_0058,12.89067775,13,QT,1,13,NA,0.310301760510614
IN2018_V06_114,114_0058,114_013,Hydrocorals,1,9/12/2018 0:13,IN2018_V06_114,1a,1a,z16,35,147.0684972,-44.29235278,(null),Coral reef substrate,Coral reef substrate,58,114_0058,12.89067775,13,QT,1,13,NA,0.0775754401276535
IN2018_V06_114,114_0058,114_013,Solenosmilia matrix,100,9/12/2018 0:13,IN2018_V06_114,1a,1a,z16,35,147.0684972,-44.29235278,(null),Coral reef substrate,Coral reef substrate,58,114_0058,12.89067775,13,QT,1,13,NA,7.757544012765349
IN2018_V06_114,114_0058,114_013,Black & Octocorals,3,9/12/2018 0:13,IN2018_V06_114,1a,1a,z16,35,147.0684972,-44.29235278,(null),Coral reef substrate,Coral reef substrate,58,114_0058,12.89067775,13,QT,1,13,NA,0.23272632038296046
IN2018_V06_109,109_0082,109_035,Hydrocorals,1,8/12/2018 12:52,IN2018_V06_109,2,4,slope,69,146.8449245,-44.11622851,654.4555556,cobble - boulder,cobble - boulder,82,109_0082,9.856629784,35,QT,1,35,NA,0.10145455616312919
IN2018_V06_060,060_0010,060_004,Solenosmilia matrix,100,1/12/2018 5:16,IN2018_V06_060,1,1,Little Sister (z56),38,147.2142512,-44.2549886,1087.804444,Coral reef substrate,Coral reef substrate,10,060_0010,13.44096378,4,QT,1,4,NA,7.439942673515634
IN2018_V06_060,060_0010,060_004,Brisingid,2,1/12/2018 5:16,IN2018_V06_060,1,1,Little Sister (z56),38,147.2142512,-44.2549886,1087.804444,Coral reef substrate,Coral reef substrate,10,060_0010,13.44096378,4,QT,1,4,NA,0.14879885347031266
IN2018_V06_060,060_0010,060_004,Madrepora,2,1/12/2018 5:16,IN2018_V06_060,1,1,Little Sister (z56),38,147.2142512,-44.2549886,1087.804444,Coral reef substrate,Coral reef substrate,10,060_0010,13.44096378,4,QT,1,4,NA,0.14879885347031266
IN2018_V06_060,060_0010,060_004,S.variabilis,2,1/12/2018 5:16,IN2018_V06_060,1,1,Little Sister (z56),38,147.2142512,-44.2549886,1087.804444,Coral reef substrate,Coral reef substrate,10,060_0010,13.44096378,4,QT,1,4,NA,0.14879885347031266
IN2018_V06_060,060_0010,060_004,Black & Octocorals,26,1/12/2018 5:16,IN2018_V06_060,1,1,Little Sister (z56),38,147.2142512,-44.2549886,1087.804444,Coral reef substrate,Coral reef substrate,10,060_0010,13.44096378,4,QT,1,4,NA,1.9343850951140646
IN2018_V06_060,060_0010,060_004,Sponges,19,1/12/2018 5:16,IN2018_V06_060,1,1,Little Sister (z56),38,147.2142512,-44.2549886,1087.804444,Coral reef substrate,Coral reef substrate,10,060_0010,13.44096378,4,QT,1,4,NA,1.4135891079679703
IN2018_V06_060,060_0010,060_004,Hydrocorals,1,1/12/2018 5:16,IN2018_V06_060,1,1,Little Sister (z56),38,147.2142512,-44.2549886,1087.804444,Coral reef substrate,Coral reef substrate,10,060_0010,13.44096378,4,QT,1,4,NA,0.07439942673515633
IN2018_V06_098,098_0339,098_007,Unstalked crinoids,1,7/12/2018 8:19,IN2018_V06_098,1,1,z110,74,146.2001963,-44.26435888,1523.8,Barnacle plates,Pebble - gravel,339,098_0339,7.151522138,7,QT,1,7,NA,0.13983037187096797
IN2018_V06_032,032_0203,032_012,Hydrocorals,1,27/11/2018 1:32,IN2018_V06_032,1,1,Hill U,55,147.1848163,-44.32150431,1199.057143,Rock,Rock,203,032_0203,8.92503675,12,QT,1,12,NA,0.11204435656805559
IN2018_V06_174,174_0609,174_010,No-VMEfauna,0,16/12/2018 6:44,IN2018_V06_174,1b,1b,St Helens,77,148.7675034,-41.21581127,1013.8,Sand - mud (<2mm),Sand - mud (<2mm),609,174_0609,4.176803701,NA,QT-2,2,10,NA,0
IN2018_V06_117,117_0090,117_029,Sponges,2,9/12/2018 6:32,IN2018_V06_117,1,1,Hill U,34,147.1773783,-44.3200584,1265.14,Coral rubble,Coral rubble,90,117_0090,2.650820322,29,QT,1,29,NA,0.7544834266590477
IN2018_V06_117,117_0090,117_029,Solenosmilia matrix,15,9/12/2018 6:32,IN2018_V06_117,1,1,Hill U,34,147.1773783,-44.3200584,1265.14,Coral rubble,Coral rubble,90,117_0090,2.650820322,29,QT,1,29,NA,5.658625699942857
IN2018_V06_117,117_0090,117_029,Hydrocorals,1,9/12/2018 6:32,IN2018_V06_117,1,1,Hill U,34,147.1773783,-44.3200584,1265.14,Coral rubble,Coral rubble,90,117_0090,2.650820322,29,QT,1,29,NA,0.37724171332952383
IN2018_V06_056,056_0528,056_081,Regular urchins,1,30/11/2018 19:50,IN2018_V06_056,fished,1c,Sisters,70,147.2376502,-44.28664991,1327.31875,Barnacle plates,Barnacle plates,528,056_0528,6.525633739,81,QT-2,2,17,NA,0.15324182140710244
IN2018_V06_043,043_0667,043_069,Regular urchins,12,28/11/2018 19:43,IN2018_V06_043,4 - fished?,1c,Sisters,83,147.2617269,-44.288782,1386.685714,Pebble - gravel,Pebble - gravel,667,043_0667,7.372463092,69,QT,1,69,NA,1.6276785451827394
IN2018_V06_099,099_0161,099_042,Regular urchins,4,7/12/2018 12:10,IN2018_V06_099,2,2,slope,76,146.4540756,-44.28647341,1491.1375,Rock,Rock,161,099_0161,4.076062193,42,QT,1,42,NA,0.9813392952809638
IN2018_V06_099,099_0161,099_042,Hydrocorals,1,7/12/2018 12:10,IN2018_V06_099,2,2,slope,76,146.4540756,-44.28647341,1491.1375,Rock,Rock,161,099_0161,4.076062193,42,QT,1,42,NA,0.24533482382024094
IN2018_V06_099,099_0161,099_042,Black & Octocorals,3,7/12/2018 12:10,IN2018_V06_099,2,2,slope,76,146.4540756,-44.28647341,1491.1375,Rock,Rock,161,099_0161,4.076062193,42,QT,1,42,NA,0.7360044714607228
IN2018_V06_044,044_0609,044_115,Hydrocorals,1,28/11/2018 22:18,IN2018_V06_044,4 - fished?,1c,Sisters,72,147.2619289,-44.26166636,1358.4325,Rock,Rock,609,044_0609,8.961335615,115,QT-2,2,3,NA,0.1115905087101238
IN2018_V06_044,044_0609,044_115,Regular urchins,7,28/11/2018 22:18,IN2018_V06_044,4 - fished?,1c,Sisters,72,147.2619289,-44.26166636,1358.4325,Rock,Rock,609,044_0609,8.961335615,115,QT-2,2,3,NA,0.7811335609708665
IN2018_V06_044,044_0609,044_115,Black & Octocorals,2,28/11/2018 22:18,IN2018_V06_044,4 - fished?,1c,Sisters,72,147.2619289,-44.26166636,1358.4325,Rock,Rock,609,044_0609,8.961335615,115,QT-2,2,3,NA,0.2231810174202476
IN2018_V06_063,063_0359,063_046,D.horridus,2,1/12/2018 13:40,IN2018_V06_063,1a,1a,z16,43,147.0660667,-44.28238833,1414.5,Coral rubble,Coral rubble,359,063_0359,9.750181111,46,QT-2,2,14,NA,0.20512439484263853
IN2018_V06_063,063_0359,063_046,Regular urchins,14,1/12/2018 13:40,IN2018_V06_063,1a,1a,z16,43,147.0660667,-44.28238833,1414.5,Coral rubble,Coral rubble,359,063_0359,9.750181111,46,QT-2,2,14,NA,1.4358707638984698
IN2018_V06_063,063_0359,063_046,Solenosmilia matrix,15,1/12/2018 13:40,IN2018_V06_063,1a,1a,z16,43,147.0660667,-44.28238833,1414.5,Coral rubble,Coral rubble,359,063_0359,9.750181111,46,QT-2,2,14,NA,1.538432961319789
IN2018_V06_063,063_0359,063_046,Hydrocorals,1,1/12/2018 13:40,IN2018_V06_063,1a,1a,z16,43,147.0660667,-44.28238833,1414.5,Coral rubble,Coral rubble,359,063_0359,9.750181111,46,QT-2,2,14,NA,0.10256219742131926
